# Team USA Hometown Signals — 17 Hub Seed Data
# Purpose: Clean curated backend/frontend seed data for the Hometown Signals Engine.
# Olympic source: USOPC official 2024 U.S. Olympic Team roster spreadsheet
#   https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx
# Paralympic source: USOPC official 2024 U.S. Paralympic Team roster spreadsheet
#   https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltb157d69d46ed67bc/66c3864688b74e0c81b14946/2024_Paralympic_Roster_State_Sport.xlsx
# Coordinate source: U.S. Census Bureau 2024 Gazetteer files
#   https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html
# Validation source: Hubs and sports validated against 2026 Team USA upcoming events calendar
#   https://www.teamusa.com/events
#
# IMPORTANT DATA INTEGRITY NOTES:
#   - olympian_count and paralympian_count are aggregate roster hometown entry counts from official USOPC spreadsheets.
#   - These are NOT medal counts and NOT predictions of athletic performance.
#   - Blank paralympian_count means no official Paralympic roster hometown entry appeared for that city in the parsed USOPC spreadsheet not a performance judgment.
#   - Use conditional wording such as could help fans discover or may suggest story patterns.
#   - Do not imply geography guarantees athlete outcomes.
#
hub_id,city,state,region,lat,lng,olympian_count,paralympian_count,sports,source_url,source_name,season,year,dataset_notes,climate_type,landscape_tags,elevation_m,context_notes,x_svg,y_svg,short_insight,narrative,tags
sd,San Diego,CA,West Coast,32.814977,-117.135562,11,4,"Rugby,Archery,Cycling,Equestrian,Field Hockey,Golf,Wheelchair Tennis,Track and Field,Paratriathlon",https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx; https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltb157d69d46ed67bc/66c3864688b74e0c81b14946/2024_Paralympic_Roster_State_Sport.xlsx,USOPC 2024 Olympic and Paralympic roster spreadsheets,Summer,2024,"Official USOPC roster hometown aggregation: 11 Olympic entries and 4 Paralympic entries. Coordinates matched to Census Gazetteer 2024. Counts are roster entries, not medal counts.",Mediterranean / coastal semi-arid,"Coastal,Military community,Water sport access,Para pathways",19,"Landscape and elevation are descriptive context only; no performance claims implied.",13,66,"San Diego's deep military roots and year-round coastal weather create a strong foundation for both Olympic and adaptive sports. From the water to the track, the region's active lifestyle clearly supports a wide variety of hometown athletes.","The heavy military presence and consistent Mediterranean weather in San Diego forge a disciplined, year-round outdoor training culture. Athletes here transition easily from the ocean to the track, building a versatile foundation that produces highly competitive runners, cyclists, and rugby players. The strong local support system especially elevates adaptive sports like wheelchair tennis.","West Coast,Coastal,Parity hub,Water sports,Multi-sport"
hou,Houston,TX,South,29.785743,-95.388806,10,3,"Rugby,Track and Field,Basketball,Boxing,Breaking,Cycling,Wheelchair Basketball",https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx; https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltb157d69d46ed67bc/66c3864688b74e0c81b14946/2024_Paralympic_Roster_State_Sport.xlsx,USOPC 2024 Olympic and Paralympic roster spreadsheets,Summer,2024,"Official USOPC roster hometown aggregation: 10 Olympic entries and 3 Paralympic entries. Coordinates matched to Census Gazetteer 2024. Counts are roster entries, not medal counts.",Humid subtropical / Cfa,"Gulf Coast,Heat and humidity,Large metro,Community sport",24,"Landscape and climate are descriptive context only; no performance claims implied.",50,78,"The intense Gulf Coast heat and massive urban sports infrastructure of Houston shape gritty, resilient athletes. It is a sprawling metro area where diverse neighborhoods feed directly into intense track, boxing, and wheelchair basketball programs.","Houston's punishing Gulf Coast heat forces athletes to develop immense physical and mental resilience early in their careers. The city's massive, sprawling urban neighborhoods cultivate fierce community-level competition, particularly in track, boxing, and wheelchair basketball. This raw, grassroots environment consistently feeds tough competitors into the national pipeline.","South,Gulf Coast,Urban,Heat,Parity hub"
la,Los Angeles,CA,West Coast,34.019394,-118.410825,9,2,"Artistic Swimming,Basketball,Water Polo,Fencing,Track and Field",https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx; https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltb157d69d46ed67bc/66c3864688b74e0c81b14946/2024_Paralympic_Roster_State_Sport.xlsx,USOPC 2024 Olympic and Paralympic roster spreadsheets,Summer,2024,"Official USOPC roster hometown aggregation: 9 Olympic entries and 2 Paralympic entries. Coordinates matched to Census Gazetteer 2024. Counts are roster entries, not medal counts.",Mediterranean / Csb,"Coastal,Urban density,LA28 host region,Water sport access",86,"LA28 context is narrative context; roster counts are from USOPC spreadsheets. No performance claims implied.",11,61,"With the 2028 games on the horizon, Los Angeles athletes draw from an intense urban sports culture and historic coastal venues. The city's sheer density and focus on athletics naturally pull talent toward the Olympic and Paralympic pathways.","The sheer density and intense athletic focus of Los Angeles create a hyper-competitive environment where elite training is part of the daily fabric. From historic coastal aquatic centers to high-performance tracks, local athletes benefit from world-class infrastructure right in their backyards. As the region gears up for 2028, this deep-rooted sports culture continues to draw top-tier talent in water polo and fencing.","West Coast,Urban hubs,LA28,Multi-sport,Storytelling"
cos,Colorado Springs,CO,Mountain West,38.867255,-104.760749,4,6,"Basketball,Track and Field,Volleyball,Wrestling,Swimming,Paratriathlon,Wheelchair Rugby,Shooting",https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx; https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltb157d69d46ed67bc/66c3864688b74e0c81b14946/2024_Paralympic_Roster_State_Sport.xlsx,USOPC 2024 Olympic and Paralympic roster spreadsheets,Summer,2024,"Official USOPC roster hometown aggregation: 4 Olympic entries and 6 Paralympic entries. Coordinates matched to Census Gazetteer 2024. Counts are roster entries, not medal counts.",Semi-arid / BSk,"Altitude,Mountain access,Olympic and Paralympic training ecosystem",1839,"High-altitude and training-campus context are descriptive only; no performance claims implied.",34,43,"High altitude and direct access to elite training facilities make Colorado Springs a natural magnet for serious competitors. The mountain environment here is particularly vital for the region's prominent Paralympic roster.","The high-altitude terrain and rugged mountain environment of Colorado Springs provide a natural, grueling training ground for endurance and power sports. Beyond the geography, the city is heavily invested in sports science and accessibility, making it a powerful magnet for Paralympic competitors. Athletes here thrive in a specialized community that lives and breathes elite competition.","Mountain West,Altitude,Parity hub,Paralympic,Training"
chi,Chicago,IL,Midwest,41.837045,-87.684939,6,2,"Track and Field,Wrestling,Basketball,Judo,Wheelchair Basketball",https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx; https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltb157d69d46ed67bc/66c3864688b74e0c81b14946/2024_Paralympic_Roster_State_Sport.xlsx,USOPC 2024 Olympic and Paralympic roster spreadsheets,Summer,2024,"Official USOPC roster hometown aggregation: 6 Olympic entries and 2 Paralympic entries. Coordinates matched to Census Gazetteer 2024. Counts are roster entries, not medal counts.",Humid continental / Dfa,"Great Lakes,Urban density,Indoor and outdoor sport,Community programs",181,"Landscape and climate are descriptive context only; no performance claims implied.",63,31,"Chicago's dense neighborhoods and strong park district programs build tough, disciplined competitors. The Great Lakes climate pushes many athletes into world-class indoor training programs for wrestling, judo, and wheelchair basketball.","The shifting extremes of the Great Lakes climate drive Chicago athletes into some of the most intense, disciplined indoor training programs in the country. Deeply rooted neighborhood park districts and strong community programs build tough competitors in sports like wrestling, judo, and wheelchair basketball. This gritty, working-class sports culture produces athletes known for their physical dominance and resilience.","Midwest,Great Lakes,Urban,Wheelchair basketball,Community"
atl,Atlanta,GA,Southeast,33.762909,-84.422675,6,,"Soccer,Track and Field,Basketball,Tennis",https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx,USOPC 2024 Olympic roster spreadsheet,Summer,2024,"Official USOPC roster hometown aggregation: 6 Olympic entries. No Paralympic hometown entry for Atlanta appeared in the parsed USOPC Paralympic spreadsheet; blank means not represented in this seed, not a performance judgment.",Humid subtropical / Cfa,"Forested,Collegiate corridor,Track culture,Southeast hub",320,"Landscape and collegiate context are descriptive only; no performance claims implied.",69,62,"Deeply connected to the Southern collegiate corridor, Atlanta has a long-standing and intense track and field culture. The warm weather and expansive community sports networks consistently feed talent into the national scene.","Atlanta sits at the heart of the Southern collegiate sports corridor, surrounded by a massive, highly organized youth track and field network. The thick summer heat and sprawling community sports complexes forge athletes who are conditioned for high-endurance, high-speed events. This deep local tradition ensures a constant flow of elite sprinters and basketball players onto the national stage.","Southeast,Track,Collegiate,Urban,Community"
cha,Charlotte,NC,South,35.209045,-80.83099,5,1,"Track and Field,Basketball,Rugby,Paratriathlon",https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx; https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltb157d69d46ed67bc/66c3864688b74e0c81b14946/2024_Paralympic_Roster_State_Sport.xlsx,USOPC 2024 Olympic and Paralympic roster spreadsheets,Summer,2024,"Official USOPC roster hometown aggregation: 5 Olympic entries and 1 Paralympic entry. Coordinates matched to Census Gazetteer 2024. Counts are roster entries, not medal counts.",Humid subtropical / Cfa,"Piedmont,Fast-growing metro,Community sport,Paratriathlon signal",232,"Landscape and climate are descriptive context only; no performance claims implied.",75,57,"Rapidly expanding Piedmont communities have brought fresh investment into Charlotte's local sports infrastructure. This rapid growth translates directly into opportunities for local track, rugby, and paratriathlon competitors.","The rapidly expanding Piedmont region has poured significant investment into state-of-the-art sports facilities, transforming Charlotte into a serious training destination. A massive influx of young, active communities has energized the local sports scene, particularly benefiting high-energy sports like rugby and track. This fresh infrastructure also supports a rapidly growing paratriathlon culture.","South,Piedmont,Growth hub,Paratriathlon,Community"
lb,Long Beach,CA,West Coast,33.780791,-118.16818,6,,"Water Polo,Rugby,Track and Field",https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx,USOPC 2024 Olympic roster spreadsheet,Summer,2024,"Official USOPC roster hometown aggregation: 6 Olympic entries. No Paralympic hometown entry for Long Beach appeared in the parsed USOPC Paralympic spreadsheet; blank means not represented in this seed, not a performance judgment.",Mediterranean / coastal,"Coastal,Port city,Water polo,LA basin",16,"Coastal and LA basin context are descriptive only; no performance claims implied.",12,62,"Long Beach's identity is completely tied to the water and its historic port. The local culture practically revolves around aquatic sports, making it a natural training ground for water polo and sailing talent.","Life in Long Beach revolves entirely around the water and its historic port, embedding aquatic sports directly into the local identity. The constant access to the Pacific and strong community aquatics programs make this area a dominant force in water polo and sailing. Athletes here grow up competing in the ocean, giving them a natural edge in water-based events.","West Coast,Coastal,Water polo,LA basin,Focused signal"
mia,Miami,FL,South,25.76168,-80.19179,6,,"Water Polo,Track and Field,Sailing",https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx,USOPC 2024 Olympic roster spreadsheet,Summer,2024,"Official USOPC roster hometown aggregation: 6 Olympic entries. No Paralympic hometown entry for Miami appeared in the parsed USOPC Paralympic spreadsheet; blank means not represented in this seed, not a performance judgment.",Tropical monsoon / Am,"Coastal,Tropics,Sailing hub,Heat",2,"Landscape and coastal access are descriptive only; no performance claims implied.",77,88,"Miami's tropical climate and direct ocean access make it an elite training environment for aquatic sports, heavily favoring sailors and water polo athletes.","Miami's tropical environment provides year-round training conditions that are absolutely crucial for specific Olympic disciplines. The city's extensive ocean access and robust local maritime culture make it a premier hub for elite sailing and water polo talent, who utilize the warm coastal waters to maintain top competitive form.","South,Coastal,Sailing,Water polo,Heat"
por,Portland,OR,Pacific Northwest,45.515232,-122.678385,2,3,"Soccer,Fencing,Wheelchair Basketball,Wheelchair Rugby",https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltfbab8d857574a719/672e564b824c1a33908da119/2024_U.S._Olympic_Team_610_Final.xlsx; https://assets.contentstack.io/v3/assets/blt9e58afd92a18a0fc/bltb157d69d46ed67bc/66c3864688b74e0c81b14946/2024_Paralympic_Roster_State_Sport.xlsx,USOPC 2024 Olympic and Paralympic roster spreadsheets,Summer,2024,"Official USOPC roster hometown aggregation: 2 Olympic entries and 3 Paralympic entries. Coordinates matched to Census Gazetteer 2024. Counts are roster entries, not medal counts.",Mediterranean / Csb (cool),"Pacific Northwest,River valley,Soccer culture",15,"Soccer culture context is narrative; no performance claims implied.",15,18,"Portland pairs a massive, deeply ingrained local soccer culture with highly effective adaptive sports programs, making it a unique dual-threat hub.","The Pacific Northwest climate and Portland's fiercely independent sports culture foster a very specific kind of athlete. The region is internationally recognized for its obsessive soccer community, which heavily influences youth development. In parallel, Portland has cultivated exceptional adaptive sports programs, consistently producing elite wheelchair basketball and rugby players.","Pacific Northwest,Soccer,Paralympic hub,Community"
